Country Name,Country Code,Indicator Name,Indicator Code,year_1960,year_1961,year_1962,year_1963,year_1964,year_1965,year_1966,year_1967,year_1968,year_1969,year_1970,year_1971,year_1972,year_1973,year_1974,year_1975,year_1976,year_1977,year_1978,year_1979,year_1980,year_1981,year_1982,year_1983,year_1984,year_1985,year_1986,year_1987,year_1988,year_1989,year_1990,year_1991,year_1992,year_1993,year_1994,year_1995,year_1996,year_1997,year_1998,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022
Cuba,CUB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.792828685,0.391389432,1.633713914,1.379121381,4.117117117,3.114995241,2.995720399,6.876323937,1.753316054,2.779442613,2.332531526,3.183987463,1.332320862,1.498739696,-0.47654205,-0.047207985,1.585588017,2.583687566,2.622207834,,,
Cayman Islands,CYM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276140862,1.325435758,1.188948452,2.160611468,1.273979115,-2.347527702,-0.625258359,,,,,,
Cyprus,CYP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.827300931,-0.615384615,0.103199174,1.958762887,-0.303336705,0.202839757,0.506072874,0.704934543,3.766666666,2.38515901,2.40018825,4.144006128,4.832303619,7.808882341,16.17666667,4.63948584,3.854389722,7.326460481,7.436283299,9.463708295,13.51756058,10.74469361,6.432797267,5.049714241,5.99195111,5.034453664,1.21836926,2.791666667,3.429266315,3.765480483,4.502054629,5.035274388,6.510219531,4.854166667,4.698589311,2.61581788,2.978924865,3.605344444,2.227707327,1.63,4.141657647,1.973041917,2.801155052,4.139065387,2.286217068,2.560161323,2.30468733,2.372651837,4.669008419,0.326276652,2.430040841,3.289449396,2.3890541,-0.399357676,-1.354988854,-2.096997691,-1.429166667,0.531766496,1.435491195,0.250370997,-0.638422798,2.446088672,8.39548298
Czechia,CZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.08650007,20.81302954,10.03942984,8.990523615,8.758774729,8.596156667,10.69836553,2.135448444,3.775388292,4.66267557,1.90298097,0.118739206,2.760107817,1.857097891,2.533992583,2.853124372,6.358663802,1.019377353,1.472727273,1.917219136,3.287623066,1.438297872,0.34398859,0.309364548,0.683504209,2.450533985,2.149494949,2.847875959,3.161295285,3.839844915,15.10016515
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.536612343,2.293695007,2.843270198,2.966959776,2.335735812,3.242319237,3.533060355,1.796049922,1.470289313,1.912678488,3.450249364,5.240974483,5.484933122,7.032023993,6.986431093,5.910336263,4.246631023,3.734162406,2.718696961,4.043620065,5.441057545,6.344242777,5.241045072,3.293414743,2.405793399,2.066233012,-0.129413361,0.249906109,1.27411894,2.780569556,2.696468243,4.047032598,5.056977967,4.474576508,2.693056399,1.706160413,1.44972702,1.939371989,0.911183535,0.585433064,1.440268387,1.983857313,1.420806156,1.034222186,1.665736967,1.546911148,1.577426428,2.298344007,2.628379816,0.312739007,1.103810378,2.075172837,2.008488848,1.504723303,0.906794,0.514426137,0.491747008,1.509494851,1.732168798,1.445659769,0.144877926,3.066666667,6.872574386
Djibouti,DJI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,12.05802357,5.717367854,-2.410714286,0.901842896,1.884715026,2.128902988,18.14763345,4.089116446,,,,,,,,,,,,,,1.74665225,0.637619554,1.981967346,3.122262047,3.104966401,3.483406997,4.965976546,11.95862069,1.675495873,3.950078759,5.068713948,3.731209508,2.706032429,1.341864943,-0.847389734,2.738412087,0.568112117,0.14797085,3.319253727,1.777407838,1.181917753,5.17980848
Dominica,DMA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,0.952456544,5.369919019,4.215788689,12.39349896,3.637406039,3.687995575,12.09911672,34.37607425,19.90278844,10.90249627,9.503655252,7.712579058,,,13.26668749,4.394594098,4.147952444,2.21799425,3.739979981,2.774233677,4.024580433,2.924591631,6.218521498,3.190923232,5.557061534,5.471825593,1.569026042,0.015136735,1.317537458,1.677164505,2.436297155,0.999147458,1.179477874,0.856946805,1.303894035,0.17005533,1.453368004,2.394109821,1.681900799,2.202391326,3.632221293,6.359921833,0.006263571,2.999366305,1.131231365,1.356771478,-0.046411647,0.799250373,-0.843826985,0.141816226,0.296252889,0.989191119,1.504623539,-0.727116413,,
Denmark,DNK,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,1.255230126,3.451628586,7.377819548,6.105032823,3.092783505,5.449999999,7.064959697,8.207853558,8.005207104,3.487919244,6.514841417,5.869869591,6.562360903,9.30338298,15.27520622,9.605612075,9.010290836,10.92223781,10.21365457,9.611050379,12.30532408,11.76738743,10.12082568,6.908228812,6.29077936,4.678751452,3.678184119,4.019993457,4.53513301,4.772723424,2.641603064,2.395153317,2.096044429,1.25785668,1.992014638,2.083608424,2.126298023,2.182166779,1.84565122,2.497795444,2.903282032,2.337870003,2.424436612,2.075078206,1.154356931,1.817814583,1.924221385,1.693265862,3.416267943,1.30470991,2.31092437,2.758682261,2.397914857,0.78907178,0.56402054,0.452034154,0.25,1.14713217,0.813609467,0.758131573,0.420711974,1.85304544,7.696566999
Dominican Republic,DOM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-3.5621918,-3.900000001,9.157127992,8.579599619,2.107111501,-1.891659501,0.262927257,1.238344989,0.035976399,0.956628066,3.816666666,3.580028897,8.640731556,15.07953492,13.14076737,14.50172574,7.765550239,12.85352751,3.477850342,9.173805134,16.75313569,7.514638907,7.646243066,5.628623294,20.15167811,45.33617555,7.638972666,13.55072378,43.86383235,40.65791612,50.46247924,47.07915741,4.259026389,5.250338807,8.260767986,12.53595946,5.39929385,8.296567548,4.831665586,6.470541868,7.724135662,8.883068488,5.223367698,27.44971274,51.46085983,4.190202605,7.572805239,6.143566552,10.6446211,1.442151318,6.329932201,5.796768092,3.694497079,4.830950967,2.998642261,0.836746347,1.614166072,3.279556947,3.56443426,1.81060377,3.781031799,8.24300348,8.811092093
